name,description,packagelist,default,uservisible
"Additional Development,附加开发","Additional development headers and libraries for building open-source applications.,用于构建开源应用程序的附加开发标头及程序可。","{""alsa-lib-devel"": ""mandatory"", ""audit-libs-devel"": ""mandatory"", ""binutils-devel"": ""mandatory"", ""boost-devel"": ""mandatory"", ""bzip2-devel"": ""mandatory"", ""c-ares-devel"": ""mandatory"", ""cups-devel"": ""mandatory"", ""cyrus-sasl-devel"": ""mandatory"", ""dbus-glib-devel"": ""mandatory"", ""e2fsprogs-devel"": ""mandatory"", ""elfutils-devel"": ""mandatory"", ""elfutils-libelf-devel"": ""mandatory"", ""evolution-data-server-devel"": ""mandatory"", ""expat-devel"": ""mandatory"", ""freeglut-devel"": ""mandatory"", ""fuse-devel"": ""mandatory"", ""gmp-devel"": ""mandatory"", ""gnome-desktop3-devel"": ""mandatory"", ""gnutls-devel"": ""mandatory"", ""graphite2-devel"": ""mandatory"", ""gstreamer1-devel"": ""mandatory"", ""gstreamer1-plugins-base-devel"": ""mandatory"", ""gvfs-devel"": ""mandatory"", ""hmaccalc"": ""mandatory"", ""httpd-devel"": ""mandatory"", ""hunspell-devel"": ""mandatory"", ""iptables-devel"": ""mandatory"", ""java-1.6.0-openjdk-devel"": ""mandatory"", ""java-1.7.0-openjdk-devel"": ""mandatory"", ""java-1.8.0-openjdk-devel"": ""mandatory"", ""junit"": ""mandatory"", ""kde-workspace-devel"": ""mandatory"", ""kdegraphics-devel"": ""mandatory"", ""kdelibs-devel"": ""mandatory"", ""kdenetwork-devel"": ""mandatory"", ""kdepim-devel"": ""mandatory"", ""kdepimlibs-devel"": ""mandatory"", ""kdesdk-devel"": ""mandatory"", ""libacl-devel"": ""mandatory"", ""libaio-devel"": ""mandatory"", ""libatomic-static"": ""mandatory"", ""libattr-devel"": ""mandatory"", ""libblkid-devel"": ""mandatory"", ""libcanberra-devel"": ""mandatory"", ""libcap-devel"": ""mandatory"", ""libcap-ng-devel"": ""mandatory"", ""libcurl-devel"": ""mandatory"", ""libdrm-devel"": ""mandatory"", ""libgcrypt-devel"": ""mandatory"", ""libgnome-keyring-devel"": ""mandatory"", ""libgudev1-devel"": ""mandatory"", ""libhugetlbfs-devel"": ""mandatory"", ""libitm-devel"": ""mandatory"", ""libnl-devel"": ""mandatory"", ""libnotify-devel"": ""mandatory"", ""libpfm-devel"": ""mandatory"", ""librsvg2-devel"": ""mandatory"", ""libselinux-devel"": ""mandatory"", ""libsoup-devel"": ""mandatory"", ""libtiff-devel"": ""mandatory"", ""libusbx-devel"": ""mandatory"", ""libuuid-devel"": ""mandatory"", ""libva-devel"": ""mandatory"", ""libXau-devel"": ""mandatory"", ""libXaw-devel"": ""mandatory"", ""libXinerama-devel"": ""mandatory"", ""libXmu-devel"": ""mandatory"", ""libXpm-devel"": ""mandatory"", ""libXrandr-devel"": ""mandatory"", ""libxslt-devel"": ""mandatory"", ""mariadb-devel"": ""mandatory"", ""motif-devel"": ""mandatory"", ""mpfr-devel"": ""mandatory"", ""net-snmp-devel"": ""mandatory"", ""numactl-devel"": ""mandatory"", ""openlmi-providers-devel"": ""mandatory"", ""papi-devel"": ""mandatory"", ""pcre-devel"": ""mandatory"", ""perl-App-cpanminus"": ""mandatory"", ""perl-devel"": ""mandatory"", ""perl-ExtUtils-MakeMaker"": ""mandatory"", ""perl-homedir"": ""mandatory"", ""perl-Test-Pod"": ""mandatory"", ""perl-Test-Pod-Coverage"": ""mandatory"", ""polkit-devel"": ""mandatory"", ""popt-devel"": ""mandatory"", ""postgresql-devel"": ""mandatory"", ""protobuf-c"": ""mandatory"", ""pulseaudio-libs-devel"": ""mandatory"", ""pygobject3-devel"": ""mandatory"", ""PyQt4-devel"": ""mandatory"", ""python-devel"": ""mandatory"", ""python-futures"": ""mandatory"", ""python-setuptools"": ""mandatory"", ""qt-mysql"": ""mandatory"", ""qt-odbc"": ""mandatory"", ""qt-postgresql"": ""mandatory"", ""qt3-MySQL"": ""mandatory"", ""qt3-ODBC"": ""mandatory"", ""qt3-PostgreSQL"": ""mandatory"", ""rdma-core-devel"": ""mandatory"", ""readline-devel"": ""mandatory"", ""sane-backends-devel"": ""mandatory"", ""SDL-devel"": ""mandatory"", ""sqlite-devel"": ""mandatory"", ""startup-notification-devel"": ""mandatory"", ""systemd-devel"": ""mandatory"", ""tbb-devel"": ""mandatory"", ""tcl-devel"": ""mandatory"", ""tcp_wrappers-devel"": ""mandatory"", ""tk-devel"": ""mandatory"", ""unique3-devel"": ""mandatory"", ""unixODBC-devel"": ""mandatory"", ""xorg-x11-proto-devel"": ""mandatory"", ""xz-devel"": ""mandatory"", ""flatpak"": ""optional"", ""lz4"": ""optional"", ""subversion-gnome"": ""optional""}",false,false
"Anaconda Tools,Anaconda 工具",",","{""btrfs-progs"": ""mandatory"", ""chkconfig"": ""mandatory"", ""chrony"": ""mandatory"", ""cryptsetup"": ""mandatory"", ""device-mapper-multipath"": ""mandatory"", ""dmraid"": ""mandatory"", ""dosfstools"": ""mandatory"", ""dracut-network"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""efibootmgr"": ""mandatory"", ""fcoe-utils"": ""mandatory"", ""firewalld"": ""mandatory"", ""gfs2-utils"": ""mandatory"", ""iscsi-initiator-utils"": ""mandatory"", ""lvm2"": ""mandatory"", ""lvm2-python-boom"": ""mandatory"", ""mdadm"": ""mandatory"", ""system-config-firewall-base"": ""mandatory"", ""tboot"": ""mandatory"", ""tmux"": ""mandatory"", ""xfsprogs"": ""mandatory"", ""grub2"": ""default"", ""shim-x64"": ""default"", ""dbxtool"": ""optional"", ""grub2-efi-ia32"": ""optional"", ""grub2-efi-ia32-modules"": ""optional"", ""grub2-efi-x64"": ""optional"", ""grub2-efi-x64-modules"": ""optional"", ""grub2-pc"": ""optional"", ""oscap-anaconda-addon"": ""optional"", ""shim-ia32"": ""optional"", ""shim-unsigned-ia32"": ""optional"", ""shim-unsigned-x64"": ""optional""}",false,false
"Backup Client,备份客户端","Client tools for connecting to a backup server and doing backups.,用来连接到备份服务器并进行备份的客户端工具。","{""amanda-client"": ""mandatory"", ""bacula-client"": ""optional"", ""rear"": ""optional""}",false,false
"Backup Server,备份服务器","Software to centralize your infrastructure's backups.,集中管理基础设施备份的软件。","{""amanda-server"": ""mandatory"", ""mt-st"": ""mandatory"", ""mtx"": ""mandatory""}",false,false
"Base,基本","The basic installation of CentOS Linux.,CentOS Linux 基本安装。","{""acl"": ""mandatory"", ""at"": ""mandatory"", ""attr"": ""mandatory"", ""bc"": ""mandatory"", ""bind-utils"": ""mandatory"", ""centos-indexhtml"": ""mandatory"", ""cpio"": ""mandatory"", ""crda"": ""mandatory"", ""crontabs"": ""mandatory"", ""cyrus-sasl-plain"": ""mandatory"", ""dbus"": ""mandatory"", ""ed"": ""mandatory"", ""file"": ""mandatory"", ""logrotate"": ""mandatory"", ""lsof"": ""mandatory"", ""man-db"": ""mandatory"", ""net-tools"": ""mandatory"", ""ntsysv"": ""mandatory"", ""pciutils"": ""mandatory"", ""psacct"": ""mandatory"", ""quota"": ""mandatory"", ""setserial"": ""mandatory"", ""traceroute"": ""mandatory"", ""usb_modeswitch"": ""mandatory"", ""rubygem-abrt"": ""conditional"", ""abrt-addon-ccpp"": ""default"", ""abrt-addon-python"": ""default"", ""abrt-cli"": ""default"", ""abrt-console-notification"": ""default"", ""bash-completion"": ""default"", ""blktrace"": ""default"", ""bpftool"": ""default"", ""bridge-utils"": ""default"", ""bzip2"": ""default"", ""chrony"": ""default"", ""cryptsetup"": ""default"", ""dmraid"": ""default"", ""dosfstools"": ""default"", ""ethtool"": ""default"", ""fprintd-pam"": ""default"", ""gnupg2"": ""default"", ""hunspell"": ""default"", ""hunspell-en"": ""default"", ""kmod-kvdo"": ""default"", ""kpatch"": ""default"", ""ledmon"": ""default"", ""libaio"": ""default"", ""libreport-plugin-mailx"": ""default"", ""libstoragemgmt"": ""default"", ""lvm2"": ""default"", ""man-pages"": ""default"", ""man-pages-overrides"": ""default"", ""mdadm"": ""default"", ""mlocate"": ""default"", ""mtr"": ""default"", ""nano"": ""default"", ""ntpdate"": ""default"", ""pinfo"": ""default"", ""plymouth"": ""default"", ""pm-utils"": ""default"", ""rdate"": ""default"", ""rfkill"": ""default"", ""rng-tools"": ""default"", ""rsync"": ""default"", ""scl-utils"": ""default"", ""setuptool"": ""default"", ""smartmontools"": ""default"", ""sos"": ""default"", ""sssd-client"": ""default"", ""strace"": ""default"", ""sysstat"": ""default"", ""systemtap-runtime"": ""default"", ""tcpdump"": ""default"", ""tcsh"": ""default"", ""teamd"": ""default"", ""time"": ""default"", ""unzip"": ""default"", ""usbutils"": ""default"", ""vdo"": ""default"", ""vim-enhanced"": ""default"", ""virt-what"": ""default"", ""wget"": ""default"", ""which"": ""default"", ""words"": ""default"", ""xfsdump"": ""default"", ""xz"": ""default"", ""yum-langpacks"": ""default"", ""yum-utils"": ""default"", ""zip"": ""default"", ""acpid"": ""optional"", ""audispd-plugins"": ""optional"", ""augeas"": ""optional"", ""bcc"": ""optional"", ""brltty"": ""optional"", ""ceph-common"": ""optional"", ""cryptsetup-reencrypt"": ""optional"", ""daxio"": ""optional"", ""device-mapper-persistent-data"": ""optional"", ""dos2unix"": ""optional"", ""dumpet"": ""optional"", ""fwupd"": ""optional"", ""fwupdate"": ""optional"", ""genisoimage"": ""optional"", ""gpm"": ""optional"", ""i2c-tools"": ""optional"", ""ima-evm-utils"": ""optional"", ""insights-client"": ""optional"", ""kabi-yum-plugins"": ""optional"", ""libatomic"": ""optional"", ""libcgroup"": ""optional"", ""libcgroup-tools"": ""optional"", ""libitm"": ""optional"", ""libstoragemgmt-arcconf-plugin"": ""optional"", ""libstoragemgmt-hpsa-plugin"": ""optional"", ""libstoragemgmt-local-plugin"": ""optional"", ""libstoragemgmt-megaraid-plugin"": ""optional"", ""libstoragemgmt-nfs-plugin"": ""optional"", ""libstoragemgmt-nfs-plugin-clibs"": ""optional"", ""libstoragemgmt-nstor-plugin"": ""optional"", ""libstoragemgmt-smis-plugin"": ""optional"", ""libstoragemgmt-targetd-plugin"": ""optional"", ""libstoragemgmt-udev"": ""optional"", ""linuxptp"": ""optional"", ""logwatch"": ""optional"", ""mkbootdisk"": ""optional"", ""mtools"": ""optional"", ""ncurses-term"": ""optional"", ""ntp"": ""optional"", ""nvme-cli"": ""optional"", ""nvmetcli"": ""optional"", ""oddjob"": ""optional"", ""pax"": ""optional"", ""perl-gettext"": ""optional"", ""prelink"": ""optional"", ""PyPAM"": ""optional"", ""python-subprocess32"": ""optional"", ""python-volume_key"": ""optional"", ""redhat-lsb-core"": ""optional"", ""redhat-upgrade-dracut"": ""optional"", ""redhat-upgrade-tool"": ""optional"", ""rsyslog-gnutls"": ""optional"", ""rsyslog-gssapi"": ""optional"", ""rsyslog-kafka"": ""optional"", ""rsyslog-relp"": ""optional"", ""sgpio"": ""optional"", ""sos-collector"": ""optional"", ""sox"": ""optional"", ""squashfs-tools"": ""optional"", ""star"": ""optional"", ""tmpwatch"": ""optional"", ""udftools"": ""optional"", ""usbguard"": ""optional"", ""uuidd"": ""optional"", ""volume_key"": ""optional"", ""wodim"": ""optional"", ""x86info"": ""optional"", ""yum-plugin-aliases"": ""optional"", ""yum-plugin-changelog"": ""optional"", ""yum-plugin-tmprepo"": ""optional"", ""yum-plugin-verify"": ""optional"", ""yum-plugin-versionlock"": ""optional"", ""zsh"": ""optional""}",false,false
"CentOS Linux Client product core,CentOS Linux Client 产品核心","Packages mandatory for the client product.,客户端产品必需的软件包。",{},true,false
"Compatibility Libraries,兼容性程序库","Compatibility libraries for applications built on previous versions of CentOS Linux.,用于在 CentOS Linux 的之前版本中构建的应用程序的兼容程序库。","{""compat-db47"": ""mandatory"", ""compat-exiv2-023"": ""mandatory"", ""compat-glibc"": ""mandatory"", ""compat-libcap1"": ""mandatory"", ""compat-libf2c-34"": ""mandatory"", ""compat-libgfortran-41"": ""mandatory"", ""compat-libtiff3"": ""mandatory"", ""compat-openldap"": ""mandatory"", ""libpng12"": ""mandatory"", ""openssl098e"": ""mandatory""}",false,true
"CentOS Linux ComputeNode product core,CentOS Linux ComputeNode 产品核心","Packages mandatory for the computenode product.,computenode 产品必需的软件包。",{},true,false
"Conflicts (Client),冲突（客户端）","This group includes packages conflicting with @everything installation on the Client variant.,这个组群包含与 @everything 客户端变体安装冲突的软件包。",{},false,false
"Conflicts (ComputeNode),冲突（计算节点）","This group includes packages conflicting with @everything installation on the ComputeNode variant.,这个组群包含与 @everything 计算节点变体安装冲突的软件包。",{},false,false
